no,name,class,gender,rarity,pitch,pace,signature,description
230,Amber Hearth · Resonant Measure,Onii-san Calm,Masculine,4,Deep,Measure,no,"Adult man. A gentle giant whose warmth arrives like a fireplace after a long walk. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Carries an audible smile through half the lines. Old grief pressed flat beneath the calm."
231,Amber Hearth · Resonant Lilt,Onii-san Calm,Masculine,3,Deep,Lilt,no,"Adult man. A gentle giant whose warmth arrives like a fireplace after a long walk. The voice is a deep, resonant chest register, carried on a bouncy, sing-song lilt. Laughs low in the chest before saying anything true. Curiosity always wins over caution."
232,Amber Hearth · Resonant Tale,Onii-san Calm,Masculine,4,Deep,Tale,no,"Adult man. A gentle giant whose warmth arrives like a fireplace after a long walk. The voice is a deep, resonant chest register, carried on rolling, storytelling swells. Spends words like coins — brief and exact. The patience of someone who has waited centuries."
233,Nightwatch Bro,Onii-san Calm,Masculine,5,Mid,Measure,yes,"Adult man. Calm, reliable, perpetually half-awake; shows up exactly when needed. The voice is a warm, honeyed mid register, carried on measured, deliberate beats. Laughs low in the chest before saying anything true. Something far away listens through the voice."
234,Nightwatch Bro · Honey Tale,Onii-san Calm,Masculine,4,Mid,Tale,no,"Adult man. Calm, reliable, perpetually half-awake; shows up exactly when needed. The voice is a warm, honeyed mid register, carried on rolling, storytelling swells. Laughs low in the chest before saying anything true. Underneath the noise, there is warmth that sneaks up on you."
235,Nightwatch Bro · Resonant Measure,Onii-san Calm,Masculine,3,Deep,Measure,no,"Adult man. Calm, reliable, perpetually half-awake; shows up exactly when needed. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Spends words like coins — brief and exact. A quiet current of menace runs beneath the polish."
236,Nightwatch Bro · Resonant Lilt,Onii-san Calm,Masculine,4,Deep,Lilt,no,"Adult man. Calm, reliable, perpetually half-awake; shows up exactly when needed. The voice is a deep, resonant chest register, carried on a bouncy, sing-song lilt. Carries an audible smile through half the lines. Zero malice — just pure, uncomplicated joy."
237,Nightwatch Bro · Resonant Tale,Onii-san Calm,Masculine,4,Deep,Tale,no,"Adult man. Calm, reliable, perpetually half-awake; shows up exactly when needed. The voice is a deep, resonant chest register, carried on rolling, storytelling swells. Laughs low in the chest before saying anything true. Old grief pressed flat beneath the calm."
238,Nightwatch Bro · Gravel Measure,Onii-san Calm,Masculine,3,Low,Measure,no,"Adult man. Calm, reliable, perpetually half-awake; shows up exactly when needed. The voice is a gravelly, weathered register, carried on measured, deliberate beats. Spends words like coins — brief and exact. Curiosity always wins over caution."
239,Nightwatch Bro · Gravel Lilt,Onii-san Calm,Masculine,4,Low,Lilt,no,"Adult man. Calm, reliable, perpetually half-awake; shows up exactly when needed. The voice is a gravelly, weathered register, carried on a bouncy, sing-song lilt. Carries an audible smile through half the lines. The patience of someone who has waited centuries."
240,Nightwatch Bro · Gravel Tale,Onii-san Calm,Masculine,4,Low,Tale,no,"Adult man. Calm, reliable, perpetually half-awake; shows up exactly when needed. The voice is a gravelly, weathered register, carried on rolling, storytelling swells. Laughs low in the chest before saying anything true. A temper banked like coals — not out, never out."
241,Gilded Decree,Noble & Royal,Masculine,5,Low,Drift,yes,"Young man. An imperious young aristocrat who has never once wondered what things cost. The voice is a smoky, velvet-low register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. Underneath the noise, there is warmth that sneaks up on you."
242,Gilded Decree · Resonant Measure,Noble & Royal,Masculine,4,Deep,Measure,no,"Young man. An imperious young aristocrat who has never once wondered what things cost. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Speaks in perfectly even bars, never stressing a single word. A quiet current of menace runs beneath the polish."
243,Gilded Decree · Resonant Tale,Noble & Royal,Masculine,4,Deep,Tale,no,"Young man. An imperious young aristocrat who has never once wondered what things cost. The voice is a deep, resonant chest register, carried on rolling, storytelling swells. Spends words like coins — brief and exact. Zero malice — just pure, uncomplicated joy."
244,Gilded Decree · Bell Drift,Noble & Royal,Masculine,3,High,Drift,no,"Young man. An imperious young aristocrat who has never once wondered what things cost. The voice is a rich, bell-like register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. Old grief pressed flat beneath the calm."
245,Gilded Decree · Bell Measure,Noble & Royal,Masculine,4,High,Measure,no,"Young man. An imperious young aristocrat who has never once wondered what things cost. The voice is a rich, bell-like register, carried on measured, deliberate beats. Speaks in perfectly even bars, never stressing a single word. Curiosity always wins over caution."
246,Gilded Decree · Bell Tale,Noble & Royal,Masculine,4,High,Tale,no,"Young man. An imperious young aristocrat who has never once wondered what things cost. The voice is a rich, bell-like register, carried on rolling, storytelling swells. Spends words like coins — brief and exact. The patience of someone who has waited centuries."
247,Gilded Decree · Velvet Drift,Noble & Royal,Masculine,3,Low,Drift,no,"Young man. An imperious young aristocrat who has never once wondered what things cost. The voice is a smoky, velvet-low register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. A temper banked like coals — not out, never out."
248,Gilded Decree · Velvet Measure,Noble & Royal,Masculine,4,Low,Measure,no,"Young man. An imperious young aristocrat who has never once wondered what things cost. The voice is a smoky, velvet-low register, carried on measured, deliberate beats. Speaks in perfectly even bars, never stressing a single word. Kindness delivered like a favor you cannot refuse."
249,Starlight Court,Noble & Royal,Feminine,5,Low,Drift,yes,"Young woman. Regal, luminous, and effortlessly condescending in three languages. The voice is a smoky, velvet-low register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. A quiet current of menace runs beneath the polish."
250,Starlight Court · Bell Measure,Noble & Royal,Feminine,4,High,Measure,no,"Young woman. Regal, luminous, and effortlessly condescending in three languages. The voice is a rich, bell-like register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. Zero malice — just pure, uncomplicated joy."
251,Starlight Court · Bell Tale,Noble & Royal,Feminine,3,High,Tale,no,"Young woman. Regal, luminous, and effortlessly condescending in three languages. The voice is a rich, bell-like register, carried on rolling, storytelling swells. Speaks in perfectly even bars, never stressing a single word. Old grief pressed flat beneath the calm."
252,Starlight Court · Velvet Drift,Noble & Royal,Feminine,4,Low,Drift,no,"Young woman. Regal, luminous, and effortlessly condescending in three languages. The voice is a smoky, velvet-low register, carried on an unhurried, glacially calm glide. Spends words like coins — brief and exact. Curiosity always wins over caution."
253,Starlight Court · Velvet Measure,Noble & Royal,Feminine,4,Low,Measure,no,"Young woman. Regal, luminous, and effortlessly condescending in three languages. The voice is a smoky, velvet-low register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. The patience of someone who has waited centuries."
254,Starlight Court · Velvet Tale,Noble & Royal,Feminine,3,Low,Tale,no,"Young woman. Regal, luminous, and effortlessly condescending in three languages. The voice is a smoky, velvet-low register, carried on rolling, storytelling swells. Speaks in perfectly even bars, never stressing a single word. A temper banked like coals — not out, never out."
255,Starlight Court · Crystal Drift,Noble & Royal,Feminine,4,High,Drift,no,"Young woman. Regal, luminous, and effortlessly condescending in three languages. The voice is a crisp, glass-clear register, carried on an unhurried, glacially calm glide. Spends words like coins — brief and exact. Kindness delivered like a favor you cannot refuse."
256,Starlight Court · Crystal Measure,Noble & Royal,Feminine,4,High,Measure,no,"Young woman. Regal, luminous, and effortlessly condescending in three languages. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. Wonder leaks through every other line."
257,Ivory Scepter,Noble & Royal,Masculine,5,Low,Drift,yes,"Adult man. A statesman whose every sentence sounds like it's being carved into marble. The voice is a smoky, velvet-low register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. Zero malice — just pure, uncomplicated joy."
258,Ivory Scepter · Velvet Measure,Noble & Royal,Masculine,3,Low,Measure,no,"Adult man. A statesman whose every sentence sounds like it's being carved into marble. The voice is a smoky, velvet-low register, carried on measured, deliberate beats. Spends words like coins — brief and exact. Old grief pressed flat beneath the calm."
259,Ivory Scepter · Velvet Tale,Noble & Royal,Masculine,4,Low,Tale,no,"Adult man. A statesman whose every sentence sounds like it's being carved into marble. The voice is a smoky, velvet-low register, carried on rolling, storytelling swells. Ends commands on a downward knife-edge. Curiosity always wins over caution."
260,Ivory Scepter · Crystal Drift,Noble & Royal,Masculine,4,High,Drift,no,"Adult man. A statesman whose every sentence sounds like it's being carved into marble. The voice is a crisp, glass-clear register, carried on an unhurried, glacially calm glide. Speaks in perfectly even bars, never stressing a single word. The patience of someone who has waited centuries."
261,Ivory Scepter · Crystal Measure,Noble & Royal,Masculine,3,High,Measure,no,"Adult man. A statesman whose every sentence sounds like it's being carved into marble. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Spends words like coins — brief and exact. A temper banked like coals — not out, never out."
262,Ivory Scepter · Crystal Tale,Noble & Royal,Masculine,4,High,Tale,no,"Adult man. A statesman whose every sentence sounds like it's being carved into marble. The voice is a crisp, glass-clear register, carried on rolling, storytelling swells. Ends commands on a downward knife-edge. Kindness delivered like a favor you cannot refuse."
263,Ivory Scepter · Resonant Drift,Noble & Royal,Masculine,4,Deep,Drift,no,"Adult man. A statesman whose every sentence sounds like it's being carved into marble. The voice is a deep, resonant chest register, carried on an unhurried, glacially calm glide. Speaks in perfectly even bars, never stressing a single word. Wonder leaks through every other line."
264,Ivory Scepter · Resonant Measure,Noble & Royal,Masculine,3,Deep,Measure,no,"Adult man. A statesman whose every sentence sounds like it's being carved into marble. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Spends words like coins — brief and exact. Something far away listens through the voice."
265,Porcelain Throne,Noble & Royal,Feminine,5,Low,Drift,yes,"Young woman. An ice-perfect princess whose courtesy is the sharpest weapon in the room. The voice is a smoky, velvet-low register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. Old grief pressed flat beneath the calm."
266,Porcelain Throne · Crystal Measure,Noble & Royal,Feminine,4,High,Measure,no,"Young woman. An ice-perfect princess whose courtesy is the sharpest weapon in the room. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Speaks in perfectly even bars, never stressing a single word. Curiosity always wins over caution."
267,Porcelain Throne · Crystal Tale,Noble & Royal,Feminine,4,High,Tale,no,"Young woman. An ice-perfect princess whose courtesy is the sharpest weapon in the room. The voice is a crisp, glass-clear register, carried on rolling, storytelling swells. Spends words like coins — brief and exact. The patience of someone who has waited centuries."
268,Porcelain Throne · Resonant Drift,Noble & Royal,Feminine,3,Deep,Drift,no,"Young woman. An ice-perfect princess whose courtesy is the sharpest weapon in the room. The voice is a deep, resonant chest register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. A temper banked like coals — not out, never out."
269,Porcelain Throne · Resonant Measure,Noble & Royal,Feminine,4,Deep,Measure,no,"Young woman. An ice-perfect princess whose courtesy is the sharpest weapon in the room. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Speaks in perfectly even bars, never stressing a single word. Kindness delivered like a favor you cannot refuse."
270,Porcelain Throne · Resonant Tale,Noble & Royal,Feminine,4,Deep,Tale,no,"Young woman. An ice-perfect princess whose courtesy is the sharpest weapon in the room. The voice is a deep, resonant chest register, carried on rolling, storytelling swells. Spends words like coins — brief and exact. Wonder leaks through every other line."
271,Porcelain Throne · Bell Drift,Noble & Royal,Feminine,3,High,Drift,no,"Young woman. An ice-perfect princess whose courtesy is the sharpest weapon in the room. The voice is a rich, bell-like register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. Something far away listens through the voice."
272,Porcelain Throne · Bell Measure,Noble & Royal,Feminine,4,High,Measure,no,"Young woman. An ice-perfect princess whose courtesy is the sharpest weapon in the room. The voice is a rich, bell-like register, carried on measured, deliberate beats. Speaks in perfectly even bars, never stressing a single word. Underneath the noise, there is warmth that sneaks up on you."
273,Herald of Dawn,Noble & Royal,Feminine,5,Low,Drift,yes,"Adult woman. A queen's herald: commanding, ceremonial, and used to being obeyed. The voice is a smoky, velvet-low register, carried on an unhurried, glacially calm glide. Ends commands on a downward knife-edge. Curiosity always wins over caution."
274,Herald of Dawn · Resonant Measure,Noble & Royal,Feminine,4,Deep,Measure,no,"Adult woman. A queen's herald: commanding, ceremonial, and used to being obeyed. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. The patience of someone who has waited centuries."
275,Herald of Dawn · Resonant Tale,Noble & Royal,Feminine,3,Deep,Tale,no,"Adult woman. A queen's herald: commanding, ceremonial, and used to being obeyed. The voice is a deep, resonant chest register, carried on rolling, storytelling swells. Speaks in perfectly even bars, never stressing a single word. A temper banked like coals — not out, never out."
276,Herald of Dawn · Bell Drift,Noble & Royal,Feminine,4,High,Drift,no,"Adult woman. A queen's herald: commanding, ceremonial, and used to being obeyed. The voice is a rich, bell-like register, carried on an unhurried, glacially calm glide. Spends words like coins — brief and exact. Kindness delivered like a favor you cannot refuse."
277,Herald of Dawn · Bell Measure,Noble & Royal,Feminine,4,High,Measure,no,"Adult woman. A queen's herald: commanding, ceremonial, and used to being obeyed. The voice is a rich, bell-like register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. Wonder leaks through every other line."
278,Herald of Dawn · Bell Tale,Noble & Royal,Feminine,3,High,Tale,no,"Adult woman. A queen's herald: commanding, ceremonial, and used to being obeyed. The voice is a rich, bell-like register, carried on rolling, storytelling swells. Speaks in perfectly even bars, never stressing a single word. Something far away listens through the voice."
279,Herald of Dawn · Velvet Drift,Noble & Royal,Feminine,4,Low,Drift,no,"Adult woman. A queen's herald: commanding, ceremonial, and used to being obeyed. The voice is a smoky, velvet-low register, carried on an unhurried, glacially calm glide. Spends words like coins — brief and exact. Underneath the noise, there is warmth that sneaks up on you."
280,Herald of Dawn · Velvet Measure,Noble & Royal,Feminine,4,Low,Measure,no,"Adult woman. A queen's herald: commanding, ceremonial, and used to being obeyed. The voice is a smoky, velvet-low register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. A quiet current of menace runs beneath the polish."
281,Lionheart Oath,Knight & Honor,Masculine,5,High,Measure,yes,"Adult man. A resolute knight-captain whose word is load-bearing infrastructure. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. The patience of someone who has waited centuries."
282,Lionheart Oath · Crystal Measure,Knight & Honor,Masculine,4,High,Measure,no,"Adult man. A resolute knight-captain whose word is load-bearing infrastructure. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. A temper banked like coals — not out, never out."
283,Lionheart Oath · Crystal Tick,Knight & Honor,Masculine,4,High,Tick,no,"Adult man. A resolute knight-captain whose word is load-bearing infrastructure. The voice is a crisp, glass-clear register, carried on clipped, efficient bursts. Spends words like coins — brief and exact. Kindness delivered like a favor you cannot refuse."
284,Lionheart Oath · Crystal Burst,Knight & Honor,Masculine,3,High,Burst,no,"Adult man. A resolute knight-captain whose word is load-bearing infrastructure. The voice is a crisp, glass-clear register, carried on explosive, hard-hitting bursts. Clicks their tongue when annoyed — which is often. Wonder leaks through every other line."
285,Lionheart Oath · Resonant Measure,Knight & Honor,Masculine,4,Deep,Measure,no,"Adult man. A resolute knight-captain whose word is load-bearing infrastructure. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. Something far away listens through the voice."
286,Lionheart Oath · Resonant Tick,Knight & Honor,Masculine,4,Deep,Tick,no,"Adult man. A resolute knight-captain whose word is load-bearing infrastructure. The voice is a deep, resonant chest register, carried on clipped, efficient bursts. Spends words like coins — brief and exact. Underneath the noise, there is warmth that sneaks up on you."
287,Lionheart Oath · Resonant Burst,Knight & Honor,Masculine,3,Deep,Burst,no,"Adult man. A resolute knight-captain whose word is load-bearing infrastructure. The voice is a deep, resonant chest register, carried on explosive, hard-hitting bursts. Clicks their tongue when annoyed — which is often. A quiet current of menace runs beneath the polish."
288,Lionheart Oath · Gravel Measure,Knight & Honor,Masculine,4,Low,Measure,no,"Adult man. A resolute knight-captain whose word is load-bearing infrastructure. The voice is a gravelly, weathered register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. Zero malice — just pure, uncomplicated joy."
289,Shield Lilies,Knight & Honor,Feminine,5,High,Measure,yes,"Young woman. A gallant young knight, bright and formal, with courtly manners and battlefield lungs. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. A temper banked like coals — not out, never out."
290,Shield Lilies · Resonant Measure,Knight & Honor,Feminine,4,Deep,Measure,no,"Young woman. A gallant young knight, bright and formal, with courtly manners and battlefield lungs. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. Kindness delivered like a favor you cannot refuse."
291,Shield Lilies · Resonant Tick,Knight & Honor,Feminine,3,Deep,Tick,no,"Young woman. A gallant young knight, bright and formal, with courtly manners and battlefield lungs. The voice is a deep, resonant chest register, carried on clipped, efficient bursts. Ends commands on a downward knife-edge. Wonder leaks through every other line."
292,Shield Lilies · Resonant Burst,Knight & Honor,Feminine,4,Deep,Burst,no,"Young woman. A gallant young knight, bright and formal, with courtly manners and battlefield lungs. The voice is a deep, resonant chest register, carried on explosive, hard-hitting bursts. Spends words like coins — brief and exact. Something far away listens through the voice."
293,Shield Lilies · Gravel Measure,Knight & Honor,Feminine,4,Low,Measure,no,"Young woman. A gallant young knight, bright and formal, with courtly manners and battlefield lungs. The voice is a gravelly, weathered register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. Underneath the noise, there is warmth that sneaks up on you."
294,Shield Lilies · Gravel Tick,Knight & Honor,Feminine,3,Low,Tick,no,"Young woman. A gallant young knight, bright and formal, with courtly manners and battlefield lungs. The voice is a gravelly, weathered register, carried on clipped, efficient bursts. Ends commands on a downward knife-edge. A quiet current of menace runs beneath the polish."
295,Shield Lilies · Gravel Burst,Knight & Honor,Feminine,4,Low,Burst,no,"Young woman. A gallant young knight, bright and formal, with courtly manners and battlefield lungs. The voice is a gravelly, weathered register, carried on explosive, hard-hitting bursts. Spends words like coins — brief and exact. Zero malice — just pure, uncomplicated joy."
296,Shield Lilies · Husk Measure,Knight & Honor,Feminine,4,Low,Measure,no,"Young woman. A gallant young knight, bright and formal, with courtly manners and battlefield lungs. The voice is a husky, intimate register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. Old grief pressed flat beneath the calm."
297,Steel Vigil,Knight & Honor,Masculine,5,High,Measure,yes,"Adult man. A weathered captain who has buried too many friends and protects everyone harder for it. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. Kindness delivered like a favor you cannot refuse."
298,Steel Vigil · Gravel Measure,Knight & Honor,Masculine,3,Low,Measure,no,"Adult man. A weathered captain who has buried too many friends and protects everyone harder for it. The voice is a gravelly, weathered register, carried on measured, deliberate beats. Spends words like coins — brief and exact. Wonder leaks through every other line."
299,Steel Vigil · Gravel Tick,Knight & Honor,Masculine,4,Low,Tick,no,"Adult man. A weathered captain who has buried too many friends and protects everyone harder for it. The voice is a gravelly, weathered register, carried on clipped, efficient bursts. Clicks their tongue when annoyed — which is often. Something far away listens through the voice."
300,Steel Vigil · Gravel Burst,Knight & Honor,Masculine,4,Low,Burst,no,"Adult man. A weathered captain who has buried too many friends and protects everyone harder for it. The voice is a gravelly, weathered register, carried on explosive, hard-hitting bursts. Ends commands on a downward knife-edge. Underneath the noise, there is warmth that sneaks up on you."
301,Steel Vigil · Husk Measure,Knight & Honor,Masculine,3,Low,Measure,no,"Adult man. A weathered captain who has buried too many friends and protects everyone harder for it. The voice is a husky, intimate register, carried on measured, deliberate beats. Spends words like coins — brief and exact. A quiet current of menace runs beneath the polish."
302,Steel Vigil · Husk Tick,Knight & Honor,Masculine,4,Low,Tick,no,"Adult man. A weathered captain who has buried too many friends and protects everyone harder for it. The voice is a husky, intimate register, carried on clipped, efficient bursts. Clicks their tongue when annoyed — which is often. Zero malice — just pure, uncomplicated joy."
303,Steel Vigil · Husk Burst,Knight & Honor,Masculine,4,Low,Burst,no,"Adult man. A weathered captain who has buried too many friends and protects everyone harder for it. The voice is a husky, intimate register, carried on explosive, hard-hitting bursts. Ends commands on a downward knife-edge. Old grief pressed flat beneath the calm."
304,Steel Vigil · Crystal Measure,Knight & Honor,Masculine,4,High,Measure,no,"Adult man. A weathered captain who has buried too many friends and protects everyone harder for it. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Spends words like coins — brief and exact. Curiosity always wins over caution."
305,Dawn Charger,Knight & Honor,Masculine,5,High,Measure,yes,"Young man. An eager squire, all shining idealism and zero doubt the stories are true. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. Wonder leaks through every other line."
306,Dawn Charger · Husk Measure,Knight & Honor,Masculine,4,Low,Measure,no,"Young man. An eager squire, all shining idealism and zero doubt the stories are true. The voice is a husky, intimate register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. Something far away listens through the voice."
307,Dawn Charger · Husk Tick,Knight & Honor,Masculine,4,Low,Tick,no,"Young man. An eager squire, all shining idealism and zero doubt the stories are true. The voice is a husky, intimate register, carried on clipped, efficient bursts. Spends words like coins — brief and exact. Underneath the noise, there is warmth that sneaks up on you."
308,Dawn Charger · Husk Burst,Knight & Honor,Masculine,3,Low,Burst,no,"Young man. An eager squire, all shining idealism and zero doubt the stories are true. The voice is a husky, intimate register, carried on explosive, hard-hitting bursts. Clicks their tongue when annoyed — which is often. A quiet current of menace runs beneath the polish."
309,Dawn Charger · Crystal Measure,Knight & Honor,Masculine,4,High,Measure,no,"Young man. An eager squire, all shining idealism and zero doubt the stories are true. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. Zero malice — just pure, uncomplicated joy."
310,Dawn Charger · Crystal Tick,Knight & Honor,Masculine,4,High,Tick,no,"Young man. An eager squire, all shining idealism and zero doubt the stories are true. The voice is a crisp, glass-clear register, carried on clipped, efficient bursts. Spends words like coins — brief and exact. Old grief pressed flat beneath the calm."
311,Dawn Charger · Crystal Burst,Knight & Honor,Masculine,4,High,Burst,no,"Young man. An eager squire, all shining idealism and zero doubt the stories are true. The voice is a crisp, glass-clear register, carried on explosive, hard-hitting bursts. Clicks their tongue when annoyed — which is often. Curiosity always wins over caution."
312,Dawn Charger · Resonant Measure,Knight & Honor,Masculine,3,Deep,Measure,no,"Young man. An eager squire, all shining idealism and zero doubt the stories are true. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Ends commands on a downward knife-edge. The patience of someone who has waited centuries."
313,Aegis Rose,Knight & Honor,Feminine,5,High,Measure,yes,"Adult woman. A knight-commander whose calm authority settles over a field like a banner. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. Something far away listens through the voice."
314,Aegis Rose · Crystal Measure,Knight & Honor,Feminine,4,High,Measure,no,"Adult woman. A knight-commander whose calm authority settles over a field like a banner. The voice is a crisp, glass-clear register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. Underneath the noise, there is warmth that sneaks up on you."
315,Aegis Rose · Crystal Tick,Knight & Honor,Feminine,3,High,Tick,no,"Adult woman. A knight-commander whose calm authority settles over a field like a banner. The voice is a crisp, glass-clear register, carried on clipped, efficient bursts. Ends commands on a downward knife-edge. A quiet current of menace runs beneath the polish."
316,Aegis Rose · Crystal Burst,Knight & Honor,Feminine,4,High,Burst,no,"Adult woman. A knight-commander whose calm authority settles over a field like a banner. The voice is a crisp, glass-clear register, carried on explosive, hard-hitting bursts. Spends words like coins — brief and exact. Zero malice — just pure, uncomplicated joy."
317,Aegis Rose · Resonant Measure,Knight & Honor,Feminine,4,Deep,Measure,no,"Adult woman. A knight-commander whose calm authority settles over a field like a banner. The voice is a deep, resonant chest register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. Old grief pressed flat beneath the calm."
318,Aegis Rose · Resonant Tick,Knight & Honor,Feminine,4,Deep,Tick,no,"Adult woman. A knight-commander whose calm authority settles over a field like a banner. The voice is a deep, resonant chest register, carried on clipped, efficient bursts. Ends commands on a downward knife-edge. Curiosity always wins over caution."
319,Aegis Rose · Resonant Burst,Knight & Honor,Feminine,3,Deep,Burst,no,"Adult woman. A knight-commander whose calm authority settles over a field like a banner. The voice is a deep, resonant chest register, carried on explosive, hard-hitting bursts. Spends words like coins — brief and exact. The patience of someone who has waited centuries."
320,Aegis Rose · Gravel Measure,Knight & Honor,Feminine,4,Low,Measure,no,"Adult woman. A knight-commander whose calm authority settles over a field like a banner. The voice is a gravelly, weathered register, carried on measured, deliberate beats. Clicks their tongue when annoyed — which is often. A temper banked like coals — not out, never out."
321,Willow Wisdom,Mentor & Elder,Feminine,5,Mid,Drift,yes,"Elder woman. A serene grandmother whose anecdotes turn out to be precise strategic advice. The voice is a warm, honeyed mid register, carried on an unhurried, glacially calm glide. Hums a little tune while thinking. Underneath the noise, there is warmth that sneaks up on you."
322,Willow Wisdom · Resonant Tale,Mentor & Elder,Feminine,4,Deep,Tale,no,"Elder woman. A serene grandmother whose anecdotes turn out to be precise strategic advice. The voice is a deep, resonant chest register, carried on rolling, storytelling swells. Laughs low in the chest before saying anything true. A quiet current of menace runs beneath the polish."
323,Willow Wisdom · Gravel Drift,Mentor & Elder,Feminine,4,Low,Drift,no,"Elder woman. A serene grandmother whose anecdotes turn out to be precise strategic advice. The voice is a gravelly, weathered register, carried on an unhurried, glacially calm glide. Sighs theatrically before every complaint. Zero malice — just pure, uncomplicated joy."
324,Willow Wisdom · Gravel Measure,Mentor & Elder,Feminine,3,Low,Measure,no,"Elder woman. A serene grandmother whose anecdotes turn out to be precise strategic advice. The voice is a gravelly, weathered register, carried on measured, deliberate beats. Hums a little tune while thinking. Old grief pressed flat beneath the calm."
325,Willow Wisdom · Gravel Tale,Mentor & Elder,Feminine,4,Low,Tale,no,"Elder woman. A serene grandmother whose anecdotes turn out to be precise strategic advice. The voice is a gravelly, weathered register, carried on rolling, storytelling swells. Laughs low in the chest before saying anything true. Curiosity always wins over caution."
326,Willow Wisdom · Bell Drift,Mentor & Elder,Feminine,4,High,Drift,no,"Elder woman. A serene grandmother whose anecdotes turn out to be precise strategic advice. The voice is a rich, bell-like register, carried on an unhurried, glacially calm glide. Sighs theatrically before every complaint. The patience of someone who has waited centuries."
327,Willow Wisdom · Bell Measure,Mentor & Elder,Feminine,4,High,Measure,no,"Elder woman. A serene grandmother whose anecdotes turn out to be precise strategic advice. The voice is a rich, bell-like register, carried on measured, deliberate beats. Hums a little tune while thinking. A temper banked like coals — not out, never out."
328,Willow Wisdom · Bell Tale,Mentor & Elder,Feminine,3,High,Tale,no,"Elder woman. A serene grandmother whose anecdotes turn out to be precise strategic advice. The voice is a rich, bell-like register, carried on rolling, storytelling swells. Laughs low in the chest before saying anything true. Kindness delivered like a favor you cannot refuse."
329,Mountain Root,Mentor & Elder,Masculine,5,Mid,Drift,yes,"Elder man. A deep-voiced elder of few words; each one lands like a settled matter. The voice is a warm, honeyed mid register, carried on an unhurried, glacially calm glide. Hums a little tune while thinking. A quiet current of menace runs beneath the polish."
330,Mountain Root · Gravel Tale,Mentor & Elder,Masculine,4,Low,Tale,no,"Elder man. A deep-voiced elder of few words; each one lands like a settled matter. The voice is a gravelly, weathered register, carried on rolling, storytelling swells. Hums a little tune while thinking. Zero malice — just pure, uncomplicated joy."
331,Mountain Root · Bell Drift,Mentor & Elder,Masculine,3,High,Drift,no,"Elder man. A deep-voiced elder of few words; each one lands like a settled matter. The voice is a rich, bell-like register, carried on an unhurried, glacially calm glide. Laughs low in the chest before saying anything true. Old grief pressed flat beneath the calm."
332,Mountain Root · Bell Measure,Mentor & Elder,Masculine,4,High,Measure,no,"Elder man. A deep-voiced elder of few words; each one lands like a settled matter. The voice is a rich, bell-like register, carried on measured, deliberate beats. Sighs theatrically before every complaint. Curiosity always wins over caution."
